,B19013_001E,B15003_017E,B15003_022E,B03002_003E,B03002_004E,B03002_012E,B01001_001E,B23025_004E,B08301_001E,B17001_002E,B25077_001E
"Block Group 4; Census Tract 305; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030500> block group:4",136579,17,555,727,275,324,1738,1190,1190,,361200
"Block Group 1; Census Tract 306.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030601> block group:1",53043,194,351,427,663,133,1573,929,891,,-666666666
"Block Group 2; Census Tract 306.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030601> block group:2",-666666666,135,202,387,41,69,837,425,378,,505800
"Block Group 3; Census Tract 306.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030601> block group:3",54028,121,277,803,284,70,1358,803,796,,231700
"Block Group 1; Census Tract 306.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030603> block group:1",59615,69,293,442,175,77,913,499,499,,290400
"Block Group 2; Census Tract 306.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030603> block group:2",53830,175,301,555,391,193,1250,952,886,,274000
"Block Group 1; Census Tract 306.04; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030604> block group:1",63040,31,363,540,66,76,832,636,636,,256300
"Block Group 2; Census Tract 306.04; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030604> block group:2",68447,154,318,710,164,114,1301,757,748,,234700
"Block Group 3; Census Tract 306.04; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030604> block group:3",34276,79,99,243,265,39,660,295,295,,-666666666
"Block Group 1; Census Tract 307.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030701> block group:1",51625,160,367,697,507,196,1525,903,905,,301500
"Block Group 1; Census Tract 307.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030702> block group:1",61413,51,333,436,44,315,998,505,499,,188700
"Block Group 2; Census Tract 307.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030702> block group:2",59539,132,396,548,70,109,1203,723,723,,190800
"Block Group 1; Census Tract 307.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030703> block group:1",73077,154,226,445,121,73,825,574,574,,305100
"Block Group 2; Census Tract 307.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030703> block group:2",15948,70,130,387,54,41,585,40,40,,-666666666
"Block Group 3; Census Tract 307.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030703> block group:3",83092,146,474,740,241,467,1671,1165,1165,,238200
"Block Group 1; Census Tract 307.06; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030706> block group:1",46377,284,391,1135,173,94,1678,730,730,,392900
"Block Group 2; Census Tract 307.06; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030706> block group:2",95878,32,296,462,211,0,954,589,589,,379900
"Block Group 1; Census Tract 308; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030800> block group:1",64306,60,239,605,51,29,903,688,688,,454900
"Block Group 2; Census Tract 308; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030800> block group:2",108676,99,249,784,72,278,1173,576,576,,485600
"Block Group 3; Census Tract 308; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030800> block group:3",106757,46,301,995,66,16,1395,849,849,,630400
"Block Group 4; Census Tract 308; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030800> block group:4",84704,0,449,630,0,160,933,788,788,,750000
"Block Group 1; Census Tract 309; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030900> block group:1",95227,13,88,305,2,95,446,307,307,,435500
"Block Group 2; Census Tract 309; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030900> block group:2",85809,99,550,907,36,92,1253,921,921,,574100
"Block Group 3; Census Tract 309; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030900> block group:3",-666666666,28,175,508,65,103,710,455,455,,573500
"Block Group 4; Census Tract 309; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030900> block group:4",122386,22,260,407,15,12,567,413,413,,437100
"Block Group 1; Census Tract 310; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031000> block group:1",158636,108,377,576,38,306,1234,836,836,,351900
"Block Group 2; Census Tract 310; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031000> block group:2",144513,75,340,617,22,189,971,703,687,,415300
"Block Group 3; Census Tract 310; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031000> block group:3",87384,70,755,1197,43,215,1592,1360,1360,,324200
"Block Group 1; Census Tract 311; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031100> block group:1",100762,91,541,1110,23,213,1625,1404,1404,,553400
"Block Group 2; Census Tract 311; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031100> block group:2",-666666666,50,317,800,342,115,1485,1187,1098,,-666666666
"Block Group 3; Census Tract 311; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031100> block group:3",83993,89,426,819,274,139,1589,1162,1147,,364300
"Block Group 1; Census Tract 312; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031200> block group:1",64176,92,344,403,169,128,840,586,578,,316500
"Block Group 2; Census Tract 312; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031200> block group:2",25503,286,208,327,1412,146,2085,940,917,,-666666666
"Block Group 3; Census Tract 312; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031200> block group:3",17036,52,340,439,350,270,1280,765,765,,531300
"Block Group 4; Census Tract 312; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031200> block group:4",-666666666,244,663,403,411,740,1748,848,848,,291500
"Block Group 1; Census Tract 313; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031300> block group:1",48156,371,270,1139,54,366,1618,648,648,,118800
"Block Group 2; Census Tract 313; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031300> block group:2",65409,61,404,646,79,147,1324,953,852,,217100
"Block Group 3; Census Tract 313; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031300> block group:3",-666666666,0,28,123,0,81,256,159,159,,-666666666
"Block Group 4; Census Tract 313; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031300> block group:4",62500,233,537,886,527,287,2302,1229,1192,,401500
"Block Group 5; Census Tract 313; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031300> block group:5",80962,24,499,962,113,63,1341,758,758,,194500
"Block Group 1; Census Tract 314; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031400> block group:1",100714,41,443,697,7,68,924,694,678,,195400
"Block Group 2; Census Tract 314; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031400> block group:2",73262,18,306,443,90,155,747,531,490,,291300
"Block Group 3; Census Tract 314; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031400> block group:3",91424,24,416,873,106,86,1129,797,797,,281400
"Block Group 4; Census Tract 314; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031400> block group:4",91123,25,381,754,25,45,1023,960,960,,298300
"Block Group 5; Census Tract 314; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031400> block group:5",62248,160,345,618,88,70,948,651,651,,219600
"Block Group 1; Census Tract 315.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031501> block group:1",-666666666,96,245,365,258,116,951,426,414,,350700
"Block Group 2; Census Tract 315.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031501> block group:2",56544,244,389,873,905,237,2490,1185,1185,,409200
"Block Group 3; Census Tract 315.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031501> block group:3",34570,106,206,220,767,65,1391,721,721,,219600
"Block Group 1; Census Tract 315.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031502> block group:1",58750,31,489,1046,252,207,1601,1265,1265,,282100
"Block Group 2; Census Tract 315.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031502> block group:2",48386,0,118,483,214,87,866,531,531,,-666666666
"Block Group 3; Census Tract 315.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031502> block group:3",-666666666,313,283,382,1311,168,2163,690,668,,-666666666
"Block Group 1; Census Tract 317; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031700> block group:1",75662,44,778,1553,348,223,2370,2028,2028,,617200
"Block Group 2; Census Tract 317; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031700> block group:2",107794,31,371,868,9,214,1220,892,817,,442900
"Block Group 3; Census Tract 317; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031700> block group:3",64388,108,545,931,214,58,1321,1039,1039,,407600
"Block Group 4; Census Tract 317; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031700> block group:4",118469,27,312,666,264,201,1228,882,882,,439300
"Block Group 1; Census Tract 318; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031800> block group:1",86159,60,625,1057,88,304,1980,1311,1299,,462600
"Block Group 1; Census Tract 319; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:031900> block group:1",83036,23,429,888,38,89,1163,928,928,,545500
