index,median_household_income,edu_bachelors,edu_total_over_25,race_white,race_black,race_hispanic,total_population,median_age,median_gross_rent,lang_total,emp_unemployed,emp_labor_force,commute_total,commute_public_transit,poverty_count,poverty_universe,median_housing_value,GEOID
"Block Group 5, Census Tract 8262.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:826202> block group:5",37917,186,894,49,1117,416,1582,33.1,1089,1335,205,929,724,20,,,94100,170318262025
"Block Group 2, Census Tract 8262.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:826202> block group:2",53563,35,543,66,646,109,821,33.3,-666666666,759,186,525,339,61,,,66800,170318262022
"Block Group 4, Census Tract 8262.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:826202> block group:4",-666666666,32,357,146,416,9,571,34.6,810,571,37,234,197,9,,,-666666666,170318262024
"Block Group 1, Census Tract 6806, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:680600> block group:1",52632,45,173,0,273,0,273,31.6,673,256,11,163,152,72,,,-666666666,170316806001
"Block Group 2, Census Tract 2838, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:283800> block group:2",85865,867,2205,1202,1061,527,3154,33.3,1308,2752,108,1776,1668,232,,,297300,170312838002
"Block Group 3, Census Tract 5703, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:570300> block group:3",36302,35,901,201,23,1111,1395,36.3,1015,1284,58,551,458,122,,,193200,170315703003
"Block Group 1, Census Tract 5703, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:570300> block group:1",48813,72,648,173,0,1027,1210,28.4,769,1057,21,544,495,200,,,205000,170315703001
"Block Group 4, Census Tract 5703, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:570300> block group:4",52031,104,1303,430,1,1676,2249,29.6,980,2169,73,1079,994,94,,,169000,170315703004
"Block Group 2, Census Tract 4802, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:480200> block group:2",55250,93,369,0,441,0,507,41.9,857,482,28,254,221,54,,,179300,170314802002
"Block Group 1, Census Tract 4906, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:490600> block group:1",37176,168,1113,104,1324,0,1464,45.5,1665,1426,111,642,526,105,,,111800,170314906001
"Block Group 5, Census Tract 4908, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:490800> block group:5",25435,13,644,0,737,0,756,46.8,809,756,151,483,332,238,,,-666666666,170314908005
"Block Group 4, Census Tract 4908, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:490800> block group:4",47396,169,875,0,1295,0,1295,35.2,860,1254,145,744,554,29,,,118300,170314908004
"Block Group 1, Census Tract 4908, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:490800> block group:1",42472,88,483,28,624,0,652,44.6,-666666666,620,7,323,316,20,,,132300,170314908001
"Block Group 1, Census Tract 5002, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:500200> block group:1",25772,129,975,0,1551,0,1632,28.7,900,1416,230,779,513,109,,,122400,170315002001
"Block Group 4, Census Tract 5103, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:510300> block group:4",29835,135,1368,15,1939,0,1954,36.2,1142,1806,382,1039,650,121,,,85400,170315103004
"Block Group 1, Census Tract 5103, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:510300> block group:1",38750,27,719,0,1187,20,1207,35.6,-666666666,1134,130,478,287,71,,,90700,170315103001
"Block Group 1, Census Tract 815, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:081500> block group:1",96875,539,1230,831,0,207,1405,34.0,2149,1332,0,1054,972,227,,,609000,170310815001
"Block Group 2, Census Tract 5103, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:510300> block group:2",22589,51,707,0,985,14,999,44.3,1340,983,43,261,191,76,,,94400,170315103002
"Block Group 3, Census Tract 5203, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:520300> block group:3",43333,8,771,151,134,1040,1325,33.2,818,1228,36,557,521,67,,,141800,170315203003
"Block Group 1, Census Tract 5203, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:520300> block group:1",38333,47,965,120,0,1557,1677,34.0,1106,1543,188,783,595,65,,,142200,170315203001
"Block Group 2, Census Tract 5203, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:520300> block group:2",44180,28,971,120,13,1472,1605,30.2,769,1501,127,747,620,52,,,117800,170315203002
"Block Group 1, Census Tract 811, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:081100> block group:1",131250,446,1129,1157,27,40,1241,43.8,2152,1241,51,900,849,311,,,383600,170310811001
"Block Group 1, Census Tract 903, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:090300> block group:1",108563,331,917,1228,0,45,1339,39.3,1218,1216,5,765,735,58,,,381100,170310903001
"Block Group 2, Census Tract 1303, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:130300> block group:2",56786,193,544,660,0,85,882,42.0,1153,792,11,427,409,74,,,372900,170311303002
"Block Group 4, Census Tract 1303, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:130300> block group:4",65500,250,1107,672,7,414,1789,31.2,1210,1633,63,1024,961,132,,,177200,170311303004
"Block Group 3, Census Tract 1303, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:130300> block group:3",79531,377,1264,737,121,596,1934,36.4,1280,1786,75,879,767,91,,,351900,170311303003
